DEPTH,GR,RES,PHIE,RHOB,Class,Unique_Class_Num
2800,16.452,-999.25,0.2915,2.159,"2, 4",8
2800.25,15.69,40.884,0.2932,2.157,"1, 2, 4",3
2800.5,15.293,33.188,0.2922,2.159,"1, 2, 4",3
2800.75,15.253,28.71,0.2916,2.16,"1, 2, 4",3
2801,15.018,26.13,0.2906,2.162,"1, 2, 4",3
2801.25,14.839,24.695,0.2895,2.164,"1, 2, 4",3
2801.5,15.026,23.943,0.2924,2.159,"1, 2, 4",3
2801.75,15.236,23.577,0.2935,2.157,"1, 2, 4",3
2802,15.488,23.411,0.2921,2.159,"1, 2, 4",3
2802.25,15.682,23.337,0.2968,2.151,"1, 2, 4",3
2802.5,15.561,23.299,0.2945,2.155,"1, 2, 4",3
2802.75,15.366,23.275,0.2982,2.149,"1, 2, 4",3
2803,15.447,23.255,0.3006,2.145,"1, 2, 4",3
2803.25,15.625,23.238,0.3048,2.138,"1, 2, 4",3
2803.5,15.666,23.226,0.3096,2.13,"1, 2, 4",3
2803.75,15.731,23.22,0.3132,2.124,"1, 2, 4",3
2804,15.666,23.222,0.3102,2.129,"1, 2, 4",3
2804.25,15.528,23.233,0.3152,2.121,"1, 2, 4",3
2804.5,15.625,23.255,0.3163,2.119,"1, 2, 4",3
2804.75,15.577,23.286,0.3224,2.109,"1, 2, 4",3
2805,15.009,23.328,0.3252,2.105,"1, 2, 4",3
2805.25,14.223,23.377,0.3288,2.1,"1, 2, 4",3
2805.5,13.956,23.432,0.332,2.095,"1, 2, 4",3
2805.75,14.045,23.488,0.3343,2.091,"1, 2, 4",3
2806,13.729,23.542,0.3376,2.086,"1, 2, 4",3
2806.25,13.243,23.591,0.3458,2.073,"1, 2, 4",3
2806.5,13.121,23.63,0.3465,2.072,"1, 2, 4",3
2806.75,13.437,23.656,0.3511,2.064,"1, 2, 4",3
2807,14.15,23.665,0.3525,2.061,"1, 2, 4",3
2807.25,14.815,23.655,0.3509,2.063,"1, 2, 4",3
2807.5,14.937,23.625,0.349,2.066,"1, 2, 4",3
2807.75,14.677,23.575,0.351,2.063,"1, 2, 4",3
2808,14.199,23.508,0.3513,2.063,"1, 2, 4",3
2808.25,14.118,23.427,0.3489,2.067,"1, 2, 4",3
2808.5,14.831,23.336,0.3497,2.065,"1, 2, 4",3
2808.75,15.074,23.238,0.3525,2.06,"1, 2, 4",3
2809,14.564,23.137,0.3541,2.058,"1, 2, 4",3
2809.25,14.296,23.036,0.3573,2.053,"1, 2, 4",3
2809.5,14.45,22.938,0.362,2.045,"1, 2, 4",3
2809.75,14.839,22.848,0.3679,2.035,"1, 2, 4",3
2810,15.05,22.769,0.375,2.023,"1, 2, 4",3
2810.25,15.091,22.705,0.3787,2.017,"1, 2, 4",3
2810.5,15.115,22.657,0.3787,2.017,"1, 2, 4",3
2810.75,14.742,22.627,0.3771,2.02,"1, 2, 4",3
2811,14.223,22.617,0.378,2.019,"1, 2, 4",3
2811.25,13.867,22.629,0.3819,2.013,"1, 2, 4",3
2811.5,13.437,22.665,0.3846,2.009,"1, 2, 4",3
2811.75,13.064,22.728,0.3866,2.006,"1, 2, 4",3
2812,13.097,22.818,0.3823,2.013,"1, 2, 4",3
2812.25,13.486,22.931,0.376,2.023,"1, 2, 4",3
2812.5,13.769,23.057,0.3716,2.03,"1, 2, 4",3
2812.75,13.632,23.186,0.3741,2.026,"1, 2, 4",3
2813,13.429,23.304,0.3785,2.019,"1, 2, 4",3
2813.25,13.51,23.399,0.3724,2.029,"1, 2, 4",3
2813.5,13.575,23.465,0.3778,2.02,"1, 2, 4",3
2813.75,13.389,23.504,0.3633,2.044,"1, 2, 4",3
2814,13.113,23.526,0.3556,2.057,"1, 2, 4",3
2814.25,12.805,23.543,0.3308,2.098,"1, 2, 4",3
2814.5,12.562,23.565,0.3,2.149,"1, 2, 4",3
2814.75,12.805,23.593,0.2579,2.218,"1, 2, 3, 4",2
2815,13.437,23.626,0.2417,2.244,"1, 2, 3, 4",2
2815.25,14.005,23.654,0.2347,2.255,"1, 2, 3, 4",2
2815.5,14.434,23.67,0.2605,2.212,"1, 2, 3, 4",2
2815.75,14.864,23.672,0.2797,2.18,"1, 2, 3, 4",2
2816,15.309,23.664,0.3044,2.139,"1, 2, 4",3
2816.25,15.39,23.659,0.314,2.123,"1, 2, 4",3
2816.5,15.074,23.674,0.3313,2.095,"1, 2, 4",3
2816.75,14.872,23.726,0.329,2.099,"1, 2, 4",3
2817,14.669,23.826,0.337,2.086,"1, 2, 4",3
2817.25,14.061,23.98,0.3398,2.082,"1, 2, 4",3
2817.5,13.283,24.182,0.3372,2.087,"1, 2, 4",3
2817.75,12.837,24.417,0.3296,2.1,"1, 2, 4",3
2818,12.521,24.665,0.3262,2.106,"1, 2, 4",3
2818.25,11.905,24.9,0.3217,2.114,"1, 2, 4",3
2818.5,11.654,25.094,0.3145,2.126,"1, 2, 4",3
2818.75,12.254,25.225,0.3099,2.133,"1, 2, 4",3
2819,12.74,25.278,0.309,2.134,"1, 2, 4",3
2819.25,12.448,25.249,0.3031,2.144,"1, 2, 4",3
2819.5,12.165,25.143,0.3051,2.141,"1, 2, 4",3
2819.75,12.367,24.977,0.3098,2.133,"1, 2, 4",3
2820,12.562,24.771,0.3115,2.13,"1, 2, 4",3
2820.25,12.683,24.542,0.3151,2.124,"1, 2, 4",3
2820.5,13.137,24.304,0.3203,2.115,"1, 2, 4",3
2820.75,13.721,24.06,0.323,2.11,"1, 2, 4",3
2821,13.786,23.813,0.326,2.105,"1, 2, 4",3
2821.25,13.559,23.562,0.3298,2.099,"1, 2, 4",3
2821.5,13.923,23.31,0.3375,2.086,"1, 2, 4",3
2821.75,14.629,23.065,0.334,2.091,"1, 2, 4",3
2822,14.937,22.839,0.3374,2.085,"1, 2, 4",3
2822.25,15.001,22.645,0.338,2.084,"1, 2, 4",3
2822.5,15.018,22.496,0.3422,2.077,"1, 2, 4",3
2822.75,14.815,22.398,0.3424,2.077,"1, 2, 4",3
2823,14.548,22.35,0.3425,2.077,"1, 2, 4",3
2823.25,14.466,22.344,0.3377,2.085,"1, 2, 4",3
2823.5,14.288,22.365,0.3342,2.091,"1, 2, 4",3
2823.75,14.094,22.399,0.3343,2.091,"1, 2, 4",3
2824,14.426,22.431,0.3341,2.091,"1, 2, 4",3
